Id,SalePrice
1461,121070.305
1462,163556.2
1463,196763.92
1464,200577.61
1465,181912.08
1466,171786.78
1467,166509.2
1468,168301.75
1469,181928.73
1470,121910.42
1471,197604.69
1472,95539.375
1473,103294.6
1474,155080.92
1475,122067.25
1476,384044.66
1477,252437.48
1478,293337.28
1479,217548.39
1480,480294.66
1481,321668.88
1482,209996.19
1483,168356.17
1484,170619.88
1485,178121.05
1486,196654.36
1487,374824.6
1488,224943.8
1489,205665.78
1490,221338.53
1491,189610.56
1492,89932.61
1493,178095.06
1494,288463.3
1495,285806.88
1496,253242.38
1497,175992.48
1498,158580.48
1499,165074.34
1500,150732.88
1501,185204.08
1502,142304.2
1503,315570.0
1504,240366.44
1505,235753.06
1506,190745.92
1507,260394.86
1508,202016.44
1509,162271.33
1510,150304.83
1511,144972.05
1512,163024.25
1513,145409.45
1514,172685.92
1515,207000.52
1516,161453.97
1517,160823.12
1518,129894.38
1519,222897.8
1520,142083.03
1521,134897.36
1522,168345.73
1523,118345.12
1524,130470.57
1525,125606.98
1526,112124.78
1527,99239.59
1528,130926.4
1529,152846.77
1530,177776.72
1531,99870.97
1532,91468.55
1533,145365.92
1534,123694.63
1535,151944.66
1536,105890.82
1537,79421.69
1538,165449.3
1539,188412.22
1540,87804.4
1541,146134.17
1542,141523.16
1543,231205.08
1544,74636.69
1545,114249.17
1546,137250.83
1547,140382.17
1548,131388.33
1549,107661.51
1550,141766.44
1551,104039.16
1552,156226.31
1553,163456.1
1554,114458.234
1555,169388.98
1556,75801.43
1557,112460.19
1558,105574.3
1559,52827.97
1560,116286.43
1561,141868.14
1562,127026.41
1563,120212.81
1564,158187.45
1565,150376.08
1566,229625.8
1567,75487.11
1568,234537.17
1569,135851.3
1570,130211.27
1571,114854.17
1572,139037.14
1573,219997.36
1574,121391.83
1575,234326.11
1576,249553.36
1577,196514.12
1578,148549.88
1579,141555.55
1580,198970.39
1581,158500.95
1582,131588.45
1583,323075.1
1584,236343.1
1585,142224.83
1586,69592.99
1587,105894.35
1588,153952.16
1589,99153.32
1590,131500.77
1591,96891.15
1592,111414.34
1593,127492.81
1594,134610.39
1595,112099.98
1596,242924.9
1597,188389.58
1598,194631.47
1599,171755.81
1600,168483.39
1601,69107.734
1602,111767.13
1603,59253.46
1604,280228.88
1605,239532.8
1606,164605.1
1607,171816.6
1608,207971.69
1609,193833.11
1610,154239.31
1611,128444.98
1612,153661.14
1613,157155.48
1614,120335.77
1615,84380.734
1616,69908.164
1617,93331.52
1618,126781.695
1619,139320.39
1620,149926.88
1621,130065.32
1622,145355.94
1623,249728.83
1624,196681.0
1625,123031.09
1626,158837.19
1627,186633.53
1628,288239.75
1629,180728.61
1630,381630.6
1631,219016.19
1632,248079.8
1633,172353.58
1634,188788.67
1635,178803.36
1636,152127.94
1637,212943.0
1638,186083.64
1639,180860.86
1640,265810.94
1641,179737.34
1642,230890.64
